gender,region,degree_type,parent_education,medium_of_instruction,internet_quality,coaching_enrolled,financial_stress,num_subjects,study_hours_per_week,attendance_rate,sleep_hours_avg,extracurricular_count,prev_cgpa,internal_marks_pct,assignment_completion_pct,ai_reliance,independent_after_ai,ai_anxiety,verify_ai_answers,reduced_thinking_effort,ai_assignment_pct,multitask_studying,shortform_consumption,doomscroll_sleep,nonstudy_screen_time,ai_usage_frequency,ai_authenticity_risk,stylometric_consistency,comprehension_depth,reasoning_coherence,code_originality,cross_modal_consistency,learning_trajectory_slope,knowledge_boundary_breadth,conceptual_error_rate,authentic_engagement,dominant_error_type,target
Male,Northeast,M.Tech,Graduate,English,2G/Slow,Yes,3,7,20.0,57.7,7.0,5,5.39,42.6,61.0,4.0,4.0,3.0,2.0,4.0,38.0,3.0,3.0,3.0,7.0,5+/day,0.598,47.9,51.5,30.8,48.6,72.1,0.18866666666666665,55.8,0.766,55.3,Procedural,Fail
Female,North,BCA,Graduate,Hindi,No Access,Yes,3,7,20.4,74.2,8.2,1,6.44,55.7,61.8,5.0,4.0,3.0,2.0,4.0,88.0,1.0,3.0,3.0,3.0,5+/day,0.47,40.6,48.9,53.8,36.2,66.3,0.14766666666666667,47.0,0.647,52.5,Procedural,Fail
Male,Northeast,B.Tech,Graduate,Regional,No Access,No,7,4,21.0,72.6,6.7,3,5.15,53.1,35.1,3.0,4.0,4.0,2.0,4.0,63.0,1.0,4.0,3.0,1.0,5+/day,0.535,51.3,54.0,58.1,49.8,77.6,-0.16066666666666665,47.9,0.605,53.0,Language,Fail
Male,East,BCA,12th Pass,English,4G/Good,No,9,7,21.2,100.0,5.5,3,4.65,56.1,9.6,4.0,3.0,5.0,1.0,2.0,13.0,4.0,3.0,3.0,5.0,5+/day,0.519,52.2,44.4,44.8,45.7,83.1,0.025333333333333333,29.9,0.631,48.6,Conceptual,At-Risk
Male,North,B.E.,Graduate,English,2G/Slow,No,5,5,21.0,79.6,5.3,0,5.66,55.7,48.6,5.0,4.0,4.0,1.0,4.0,63.0,4.0,3.0,2.0,1.0,5+/day,0.636,55.2,52.4,45.1,42.2,73.4,-0.009,46.4,0.504,54.1,Conceptual,At-Risk
Male,South,MCA,12th Pass,Regional,4G/Good,Yes,4,5,28.3,58.2,8.2,4,7.67,96.4,65.8,3.0,1.0,4.0,1.0,5.0,88.0,4.0,3.0,4.0,1.0,3-5/day,0.598,41.8,58.1,65.6,46.2,32.4,-0.226,47.3,0.413,57.2,Minimal,Fail
Female,North,B.E.,Below 10th,Hindi,3G/Moderate,Yes,4,8,23.8,72.5,7.5,1,6.43,66.1,61.0,3.0,2.0,4.0,3.0,4.0,88.0,3.0,3.0,3.0,5.0,5+/day,0.49,51.5,57.2,59.4,53.3,73.3,0.0026666666666666666,47.6,0.437,63.4,Procedural,Fail
Male,West,BCA,Graduate,English,3G/Moderate,Yes,3,5,24.6,88.9,5.2,3,6.43,72.5,61.9,5.0,2.0,5.0,1.0,1.0,38.0,4.0,4.0,3.0,7.0,3-5/day,0.471,44.1,56.0,60.5,42.4,61.3,-0.13799999999999998,60.3,0.631,58.4,Conceptual,Pass
Female,West,B.Tech,Graduate,English,4G/Good,No,8,4,22.0,82.6,4.5,5,5.14,32.3,55.1,4.0,4.0,3.0,2.0,4.0,38.0,3.0,3.0,3.0,1.0,3-5/day,0.49,65.2,50.6,33.0,40.9,45.3,0.13,34.6,0.531,58.5,Minimal,At-Risk
Male,North,B.E.,Graduate,English,3G/Moderate,Yes,10,6,24.1,81.0,5.2,3,6.31,55.2,65.2,4.0,4.0,3.0,2.0,4.0,38.0,3.0,3.0,3.0,1.0,3-5/day,0.483,58.4,63.6,59.8,55.3,76.5,0.007333333333333333,49.8,0.382,63.8,Minimal,Pass
Female,East,B.Com,Below 10th,Hindi,4G/Good,Yes,1,7,15.0,84.7,8.0,4,7.42,75.9,58.2,2.0,2.0,3.0,4.0,4.0,88.0,4.0,3.0,4.0,1.0,5+/day,0.442,44.0,79.1,71.1,55.6,74.0,0.314,49.7,0.4,71.9,Conceptual,Pass
Female,Northeast,MCA,Below 10th,English,4G/Good,No,3,4,22.5,95.9,5.1,3,6.21,63.0,42.6,3.0,2.0,4.0,1.0,3.0,63.0,3.0,3.0,4.0,1.0,5+/day,0.627,27.9,60.3,51.6,46.2,57.6,-0.11766666666666666,56.2,0.545,55.3,Conceptual,At-Risk
Male,Central,B.Tech,Post-Graduate,English,5G/Excellent,No,2,7,26.1,93.3,7.2,3,8.15,89.7,59.9,4.0,2.0,1.0,2.0,5.0,88.0,1.0,4.0,2.0,1.0,5+/day,0.624,32.8,52.1,65.0,53.8,34.6,0.166,75.1,0.155,58.6,Minimal,Pass
Female,East,B.Tech,Below 10th,English,4G/Good,No,7,8,16.5,72.4,9.0,2,5.16,43.3,56.5,4.0,3.0,4.0,3.0,4.0,88.0,1.0,2.0,3.0,5.0,1-3/day,0.487,47.9,43.4,41.6,39.0,64.5,-0.19499999999999998,42.4,0.603,50.4,Conceptual,Fail
Female,Central,B.Tech,Graduate,English,5G/Excellent,No,6,4,27.6,85.8,5.3,0,6.43,42.6,54.4,5.0,2.0,5.0,2.0,3.0,88.0,3.0,2.0,3.0,7.0,3-5/day,0.638,38.2,44.5,44.9,34.4,75.6,0.18633333333333335,53.8,0.362,52.1,Conceptual,At-Risk
Female,East,BCA,Graduate,Hindi,4G/Good,No,1,4,15.6,100.0,5.9,5,5.3,46.3,44.7,4.0,2.0,4.0,1.0,2.0,13.0,3.0,2.0,3.0,5.0,5+/day,0.584,62.7,48.8,47.5,46.7,64.1,-0.09300000000000001,29.5,0.717,52.0,Conceptual,Pass
Female,South,MCA,Graduate,English,5G/Excellent,Yes,3,4,21.3,84.8,6.5,2,7.51,41.5,81.7,4.0,5.0,4.0,2.0,5.0,38.0,2.0,2.0,4.0,5.0,5+/day,0.653,44.1,55.9,50.0,46.6,87.0,-0.131,66.3,0.326,57.0,Minimal,Pass
Female,Northeast,BCA,Below 10th,English,No Access,No,4,8,10.9,75.1,4.1,3,3.41,51.3,48.2,4.0,2.0,5.0,3.0,1.0,88.0,3.0,3.0,4.0,5.0,1-3/day,0.383,58.9,35.8,25.7,42.2,54.4,-0.23966666666666667,25.6,0.623,45.7,Conceptual,Fail
Female,East,B.E.,Graduate,Regional,4G/Good,No,10,4,23.6,68.5,5.4,4,5.27,27.5,55.5,2.0,4.0,5.0,1.0,2.0,63.0,3.0,3.0,3.0,5.0,5+/day,0.449,64.0,34.8,40.9,50.0,37.2,0.08,48.6,0.422,58.4,Language,Fail
Male,East,MCA,Graduate,Hindi,5G/Excellent,No,7,7,26.6,85.1,6.8,5,7.51,76.7,93.9,3.0,4.0,5.0,3.0,1.0,38.0,1.0,3.0,3.0,5.0,5+/day,0.235,84.3,77.0,79.2,92.6,76.6,0.44966666666666666,80.1,0.361,91.9,Minimal,Pass
Male,East,B.E.,12th Pass,English,2G/Slow,No,3,6,17.8,79.7,5.0,0,5.41,55.5,60.6,3.0,2.0,5.0,1.0,4.0,63.0,1.0,3.0,2.0,3.0,1-3/day,0.504,60.2,64.4,39.2,50.3,79.8,0.15166666666666667,38.8,0.497,58.3,Conceptual,At-Risk
Male,Northeast,B.Tech,12th Pass,Hindi,4G/Good,No,4,4,8.7,79.4,9.7,1,5.26,71.5,72.7,5.0,3.0,4.0,3.0,5.0,88.0,3.0,3.0,4.0,7.0,5+/day,0.644,20.5,40.7,43.1,38.2,51.6,-0.6323333333333333,35.2,0.755,43.0,Conceptual,Fail
Male,Northeast,BCA,12th Pass,English,5G/Excellent,No,7,8,18.3,84.8,5.8,1,4.46,52.1,18.2,4.0,3.0,4.0,4.0,5.0,88.0,4.0,4.0,4.0,3.0,5+/day,0.651,34.4,32.1,34.4,32.5,67.4,-0.375,39.0,0.766,42.6,Conceptual,Fail
Male,South,B.Com,Below 10th,Hindi,4G/Good,No,4,8,11.8,73.9,6.2,4,5.74,86.9,27.1,4.0,4.0,5.0,2.0,5.0,13.0,3.0,2.0,4.0,5.0,5+/day,0.482,58.0,53.4,54.0,57.6,50.5,-0.026,36.8,0.602,56.1,Conceptual,Fail
Male,South,MCA,Graduate,Hindi,2G/Slow,No,9,4,18.6,97.5,5.6,1,4.67,22.8,43.2,5.0,4.0,1.0,3.0,5.0,63.0,1.0,3.0,3.0,1.0,3-5/day,0.524,48.2,30.0,19.6,35.7,35.6,-0.16633333333333333,36.0,0.552,42.7,Conceptual,At-Risk
Female,East,BCA,Graduate,Hindi,4G/Good,No,6,8,23.8,81.2,6.1,5,8.38,81.1,70.0,3.0,3.0,4.0,2.0,5.0,63.0,3.0,4.0,3.0,1.0,5+/day,0.558,37.7,68.3,71.4,51.2,54.2,0.107,60.6,0.353,65.6,Minimal,Pass
Male,East,BCA,Post-Graduate,Hindi,2G/Slow,Yes,2,5,21.3,100.0,5.4,2,7.78,99.7,76.4,4.0,2.0,4.0,3.0,4.0,63.0,3.0,4.0,3.0,3.0,5+/day,0.511,48.0,62.1,74.9,59.2,42.8,0.14466666666666667,74.5,0.433,64.7,Minimal,Pass
Male,North,B.Com,12th Pass,English,5G/Excellent,No,1,8,7.1,94.4,3.4,3,8.15,53.6,66.1,4.0,3.0,4.0,3.0,4.0,38.0,1.0,4.0,4.0,5.0,3-5/day,0.483,51.6,53.3,57.1,47.6,70.4,0.004333333333333333,48.2,0.479,66.4,Procedural,Pass
Female,West,B.E.,Graduate,Hindi,No Access,No,8,6,15.7,81.1,6.0,1,4.27,59.1,48.6,2.0,1.0,2.0,2.0,5.0,63.0,4.0,4.0,3.0,1.0,3-5/day,0.671,45.1,36.5,36.6,38.3,49.6,0.0016666666666666668,40.9,0.594,50.8,Conceptual,Fail
Male,East,B.Tech,10th Pass,English,2G/Slow,Yes,3,5,19.4,66.7,9.2,5,6.08,51.7,57.2,5.0,1.0,5.0,3.0,4.0,63.0,1.0,3.0,3.0,3.0,5+/day,0.611,42.1,42.7,40.4,36.3,70.6,-0.25866666666666666,43.0,0.655,43.1,Conceptual,Fail
Female,South,B.Com,Graduate,English,3G/Moderate,Yes,7,7,27.7,90.0,8.9,5,8.48,79.5,63.2,4.0,2.0,4.0,1.0,2.0,13.0,3.0,2.0,3.0,5.0,5+/day,0.404,64.8,71.3,72.8,59.1,79.3,0.18899999999999997,66.5,0.39,71.1,Minimal,Pass
Male,North,M.Tech,12th Pass,Regional,4G/Good,No,4,5,17.0,87.7,4.9,5,6.25,67.9,89.7,5.0,5.0,5.0,4.0,5.0,88.0,4.0,4.0,4.0,3.0,5+/day,0.427,55.2,71.5,67.3,55.5,70.9,0.301,66.8,0.258,68.1,Language,Pass
Other,North,B.Tech,Post-Graduate,Hindi,5G/Excellent,Yes,3,6,21.5,73.6,4.1,5,8.18,56.3,80.8,5.0,2.0,5.0,3.0,4.0,88.0,1.0,3.0,2.0,3.0,3-5/day,0.701,49.4,56.1,57.1,41.4,61.3,0.19099999999999998,66.9,0.418,55.2,Conceptual,At-Risk
Female,Central,B.E.,Graduate,Regional,2G/Slow,No,9,5,19.2,68.2,3.4,2,4.58,53.2,45.8,4.0,3.0,3.0,1.0,1.0,63.0,4.0,3.0,3.0,5.0,5+/day,0.425,53.9,47.9,50.8,54.0,62.5,-0.05366666666666667,34.5,0.641,52.3,Conceptual,Fail
Male,South,B.E.,Post-Graduate,English,2G/Slow,Yes,6,4,13.9,81.8,5.0,0,5.94,46.8,52.1,5.0,2.0,4.0,2.0,4.0,38.0,3.0,3.0,2.0,1.0,5+/day,0.441,46.9,34.4,41.4,37.7,62.7,0.071,33.7,0.684,46.3,Minimal,At-Risk
Male,North,B.Tech,Graduate,Hindi,4G/Good,No,6,8,14.8,84.8,5.7,4,6.07,64.7,100.0,5.0,2.0,4.0,1.0,4.0,63.0,4.0,1.0,4.0,1.0,3-5/day,0.689,36.3,37.2,34.2,30.1,63.1,-0.357,47.6,0.601,42.9,Conceptual,At-Risk
Female,South,B.Com,Graduate,English,5G/Excellent,No,6,4,16.7,83.9,7.1,5,6.19,63.6,46.8,5.0,4.0,3.0,1.0,4.0,13.0,3.0,3.0,3.0,7.0,5+/day,0.538,50.1,58.7,61.2,50.8,70.1,-0.07733333333333334,58.4,0.436,58.8,Conceptual,Pass
Female,South,B.E.,Below 10th,Hindi,4G/Good,No,3,4,26.9,82.0,5.9,0,4.95,84.4,45.5,3.0,3.0,5.0,3.0,4.0,38.0,3.0,4.0,4.0,3.0,5+/day,0.455,63.9,59.9,56.4,58.9,70.5,0.041666666666666664,57.1,0.417,67.7,Procedural,Pass
Female,North,M.Tech,Graduate,English,3G/Moderate,Yes,6,4,12.6,96.3,7.8,0,7.2,57.5,69.8,4.0,3.0,5.0,1.0,2.0,13.0,4.0,3.0,3.0,5.0,5+/day,0.382,84.8,71.3,66.2,76.8,72.0,0.5766666666666667,58.1,0.303,81.0,Conceptual,Pass
Female,South,B.Tech,12th Pass,English,4G/Good,Yes,4,5,16.7,74.4,7.4,2,7.77,70.4,47.8,3.0,1.0,2.0,3.0,2.0,38.0,3.0,2.0,1.0,1.0,3-5/day,0.588,57.1,53.2,51.3,48.0,62.9,0.605,59.3,0.481,58.0,Minimal,Pass
Male,East,B.E.,10th Pass,English,3G/Moderate,Yes,2,7,13.8,100.0,7.0,5,6.56,43.0,71.1,4.0,1.0,3.0,3.0,5.0,38.0,2.0,2.0,3.0,1.0,3-5/day,0.558,57.7,52.4,48.9,51.4,61.1,-0.291,35.7,0.624,48.9,Conceptual,Pass
Male,East,B.Tech,Below 10th,Hindi,4G/Good,No,3,8,27.1,62.0,6.3,5,5.73,71.6,54.5,5.0,2.0,2.0,3.0,3.0,63.0,4.0,3.0,3.0,5.0,3-5/day,0.611,55.6,56.2,58.1,35.5,58.5,0.18799999999999997,66.1,0.688,52.7,Procedural,Fail
Male,South,MCA,Graduate,English,3G/Moderate,Yes,4,5,20.7,73.3,8.0,1,7.02,65.8,71.1,5.0,3.0,4.0,3.0,5.0,88.0,3.0,3.0,4.0,7.0,5+/day,0.659,51.0,52.1,52.6,47.5,62.9,-0.13933333333333334,47.7,0.382,56.3,Minimal,Fail
Female,South,BCA,10th Pass,Regional,5G/Excellent,No,1,4,27.6,67.7,7.5,2,6.7,74.0,54.9,5.0,5.0,5.0,4.0,5.0,88.0,4.0,4.0,4.0,3.0,5+/day,0.453,50.3,58.7,75.5,54.5,70.6,0.141,60.5,0.448,66.4,Minimal,At-Risk
Female,Central,BCA,12th Pass,English,5G/Excellent,No,7,6,0.0,84.6,4.3,1,5.24,64.6,67.6,5.0,1.0,5.0,2.0,3.0,63.0,4.0,3.0,3.0,7.0,5+/day,0.528,49.8,33.9,36.2,51.9,48.3,0.07966666666666666,38.0,0.663,46.2,Conceptual,Fail
Male,South,B.Tech,Graduate,English,4G/Good,Yes,5,6,24.5,86.8,7.3,3,8.19,72.9,63.8,2.0,2.0,3.0,2.0,3.0,63.0,3.0,3.0,2.0,7.0,5+/day,0.405,62.9,61.3,71.0,55.6,79.6,0.301,68.3,0.27,67.7,Minimal,Pass
Male,South,B.Tech,Post-Graduate,English,4G/Good,Yes,9,4,11.7,100.0,5.6,4,5.84,50.2,53.7,4.0,5.0,4.0,2.0,5.0,38.0,2.0,2.0,4.0,5.0,5+/day,0.363,63.8,59.1,52.0,51.8,54.7,-0.083,45.0,0.486,55.1,Conceptual,Pass
